"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Rule_Engine_Context_Rule__c","nFORCE__Description__c","nFORCE__End_Date__c","nFORCE__Rule_Engine_Rule_Name__c","nFORCE__Rule_Engine_Rule_Reference__c","nFORCE__Rule_Engine__c","nFORCE__Start_Date__c","nFORCE__lookupKey__c","nFORCE__Active__c"
"a0pWD000003i5TjYAI","false","RER00042","","","a0nWD000001BJV1YAO","","","Application_Eligibility","300am00000riIlNAAU","nFORCE.LocalFlowRuleEngine:rule-engine","2025-02-01","42799750014930964","true"
"a0pWD000003i5TkYAI","false","RER00043","","","a0nWD000001BJV0YAO","","","Retail_Pricing_1","300am00000riIl2AAE","nFORCE.LocalFlowRuleEngine:rule-engine","2023-09-29","42921267445133187","true"
"a0pWD000003i5TlYAI","false","RER00044","","","a0nWD000001BJV3YAO","","","Retrieve_Pricing_Options_for_Mortgage_Retail_and_Commercial","300am00000riHiwAAE","nFORCE.FlowRuleEngine:rule-engine","2020-02-01","a0Xam00000AkburEAB","true"
"a0pWD000003i5TmYAI","false","RER00045","","","a0nWD000001BJV7YAO","","","Display_Offers","300am00000riHjqAAE","nFORCE.FlowRuleEngine:rule-engine","2019-10-22","a0Xam00000AkbusEAB","true"
"a0pWD000003i5TnYAI","false","RER00046","","","a0nWD000001BJV4YAO","","","Master_LoanAutoDecision","300am00000riIkEAAU","nFORCE.FlowRuleEngine:rule-engine","2019-10-25","a0Xam00000AkbutEAB","true"
"a0pWD000003i5ToYAI","false","RER00047","","","a0nWD000001BJV2YAO","","","Credit_Card_Calc_Credit_Limit","300am00000riIk5AAE","nFORCE.FlowRuleEngine:rule-engine","2020-05-01","a0Xam00000AkbuuEAB","true"
"a0pWD000003i5TpYAI","false","RER00048","","","a0nWD000001BJV8YAO","","","Generate_Proposed_Pricing_Option","300am00000riHiyAAE","nFORCE.FlowRuleEngine:rule-engine","2020-02-01","a0Xam00000AkbuvEAB","true"
"a0pWD000003i5TqYAI","false","RER00049","","","a0nWD000001BJV9YAO","","","Credit_Request_Preprocessing","300am00000riHiuAAE","nFORCE.FlowRuleEngine:rule-engine","2019-10-25","a0Xam00000AkbuwEAB","true"
"a0pWD000003i5TrYAI","false","RER00050","","","a0nWD000001BJV5YAO","","","LoanAutoPolExc","300am00000riHj3AAE","nFORCE.FlowRuleEngine:rule-engine","2020-04-20","a0Xam00000AkbuxEAB","true"
"a0pWD000002vqNSYAY","false","RER00034","","","a0nWD000000siFSYAY","SRC-01","2031-06-06","Master_LoanAutoDecision","3008c000001JVlJAAW","nFORCE.FlowRuleEngine:rule-engine","2027-07-25","a338c000000OC0IAAW","false"
"a0pWD000002vqNTYAY","false","RER00035","","","a0nWD000000siFZYAY","CLA Inspection placeholder in Document Manager
SRC-02","2028-06-05","InspectionPlaceholder","3008c000001JVlUAAW","nFORCE.FlowRuleEngine:rule-engine","2025-07-08","a338c000000OC0JAAW","true"
"a0pWD000002vqNWYAY","false","RER00038","","","a0nWD000000siFeYAI","CLA Inspection placeholder in Document Manager","2027-12-05","InspectionPlaceholder","3005f0000019sljAAA","nFORCE.FlowRuleEngine:rule-engine","2025-01-06","abc123","true"
"a0pWD000002vqNXYAY","false","RER00039","","","a0nWD000000siFfYAI","","2042-01-01","Initial_Loan_Auto_Decision","3005f000001YRNcAAO","nFORCE.FlowRuleEngine:rule-engine","2022-01-01","def456","true"
"a0pWD000002vqNUYAY","false","RER00036","","","a0nWD000000siFfYAI","","2031-06-06","Master_LoanAutoDecision","3008c000001JVlJAAW","nFORCE.FlowRuleEngine:rule-engine","2027-07-25","nSource000OC0I","false"
"a0pWD000002vqNVYAY","false","RER00037","","","a0nWD000000siFeYAI","CLA Inspection placeholder in Document Manager","2028-06-05","InspectionPlaceholder","3008c000001JVlUAAW","nFORCE.FlowRuleEngine:rule-engine","2025-07-08","nSource0OC0J","true"
