"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Remaining__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c"
"a1WWD000002iBLQ2A2","005al00000RVcKvAAL","false","LLC BI  Budget 004-37032e","2026-07-20T18:18:09.000Z","005al00000RVvFOAA1","2026-07-20T18:20:49.000Z","005al00000RVvFOAA1","2026-07-20T18:20:49.000Z","","","","NR04515366","","Document collection and verification workflow settings","true","false","737.15","0.0","24.1293","-31.2794","100.0","-215.19","0.0","687.96","166.0","687.96","42058164946591045","0.0","0.0","0.0","0.0","0.0","0.0"
"a1WWD000002iH0w2AE","005al00000RVcKvAAL","false","LLC BI  Budget 010-b54e75","2026-07-20T18:18:10.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","","","","CU38774194","","Document collection and verification workflow settings","true","true","431.45","85.4769","35.5942","3.0828","14.5231","21.69","601.39","703.57","250.43","102.18","42060931192168149","115.1087","94.3616","124.6813","809.87","663.9","877.22"
"a1WWD000002iGzP2AU","005al00000RVvFOAA1","false","Elite budget","2026-07-20T18:18:07.000Z","005al00000RVvFOAA1","2026-07-20T18:18:30.000Z","005al00000RVvFOAA1","2026-07-20T18:18:30.000Z","","","","","","","true","false","0.0","831.1042","1068.8958","-968.8958","-731.1042","-6230.0","5344.0","643.0","6873.0","-4701.0","42069451525749142","0.0","0.0","0.0","0.0","0.0","0.0"
"a1WWD000002iGzO2AU","005al00000RVvFOAA1","false","Contract budget","2026-07-20T18:18:07.000Z","005al00000RVvFOAA1","2026-07-20T18:18:30.000Z","005al00000RVvFOAA1","2026-07-20T18:18:30.000Z","","","","","","","true","false","0.0","17.0406","154.4364","-54.4364","82.9594","-23780.0","7444.0","43684.0","67464.0","36240.0","42081875638704092","0.0","0.0","0.0","0.0","0.0","0.0"
"a1WWD000002iH492AE","005al00000RVcKvAAL","false","a1WWD000002Vb0e","2026-07-20T18:18:11.000Z","005al00000RVvFOAA1","2026-07-20T18:18:35.000Z","005al00000RVvFOAA1","2026-07-20T18:18:35.000Z","","","","","a1WWD000002iH2h2AE","","false","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42082837881536120","","","","0.0","0.0","0.0"
"a1WWD000002iH7K2AU","005al00000RVvFOAA1","false","Budget-4","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42083606090626195","","","","0.0","0.0","0.0"
"a1WWD000002iH5o2AE","005al00000RVcKvAAL","false","a1WWD000002VhFj","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","","","","","a1WWD000002iH5e2AE","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42085349333259218","","","","0.0","0.0","0.0"
"a1WWD000002i7G32AI","005al00000RVcKvAAL","false","a1WWD000002VbDV","2026-07-20T18:18:12.000Z","005al00000RVvFOAA1","2026-07-20T18:18:35.000Z","005al00000RVvFOAA1","2026-07-20T18:18:35.000Z","","","","","a1WWD000002iH4G2AU","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42087584025622953","","","","0.0","0.0","0.0"
"a1WWD000002i7G52AI","005al00000RVcKvAAL","false","a1WWD000002VbDX","2026-07-20T18:18:12.000Z","005al00000RVvFOAA1","2026-07-20T18:18:35.000Z","005al00000RVvFOAA1","2026-07-20T18:18:35.000Z","","","","","a1WWD000002iH4I2AU","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42094280605347725","","","","0.0","0.0","0.0"
"a1WWD000002iH0q2AE","005al00000RVcKvAAL","false","LLC BI  Budget 004-db7112","2026-07-20T18:18:10.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","","","","LS98900006","","Approval routing and delegation authority configuration","true","true","384.07","61.9983","10.0112","42.6014","38.0017","345.28","502.49","810.49","81.14","308.0","42098170434288921","111.519","58.6152","57.8823","903.85","475.07","469.13"
"a1WWD000002iH2V2AU","005al00000RVcKvAAL","false","a1WWD000002VP10","2026-07-20T18:18:11.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","","","","","a1WWD000002iH132AE","","false","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42098983329829927","","","","0.0","0.0","0.0"
"a1WWD000002iH412AE","005al00000RVcKvAAL","false","a1WWD000002Vaz4","2026-07-20T18:18:11.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","","","","","","","false","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42106908378709618","","","","0.0","0.0","0.0"
"a1WWD000002iH2T2AU","005al00000RVcKvAAL","false","a1WWD000002VOzW","2026-07-20T18:18:11.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","","","","XF73024264","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42107756816783001","","","","0.0","0.0","0.0"
"a1WWD000002iH7O2AU","005al00000RVvFOAA1","false","RS budget 1","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","","","","","","","true","false","0.0","","","","","0.0","87654.0","0.0","0.0","-87654.0","42109752430563757","","","","0.0","0.0","0.0"
"a1WWD000002iGw12AE","005al00000RVvFOAA1","false","CLA Simple Budget 2 Template","2026-07-20T18:18:05.000Z","005al00000RVvFOAA1","2026-07-20T18:19:34.000Z","005al00000RVvFOAA1","2026-07-20T18:19:34.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42110583086880417","","","","0.0","0.0","0.0"
"a1WWD000002iH2d2AE","005al00000RVcKvAAL","false","a1WWD000002Vayy","2026-07-20T18:18:11.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","","","","","","","false","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42121432935058658","","","","0.0","0.0","0.0"
"a1WWD000002iH5u2AE","005al00000RVvFOAA1","false","RS budget 87","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","","","","","","","true","false","0.0","17753.4884","146.5116","-46.5116","-17653.4884","-20.0","7634.0","43.0","63.0","-7591.0","42133970703519148","0.0","0.0","0.0","0.0","0.0","0.0"
"a1WWD000002iBLJ2A2","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template7","2026-07-20T18:18:09.000Z","005al00000RVvFOAA1","2026-07-20T18:18:32.000Z","005al00000RVvFOAA1","2026-07-20T18:18:32.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42140180774962834","","","","0.0","0.0","0.0"
"a1WWD000002iH4G2AU","005al00000RVcKvAAL","false","a1WWD000002VbAP","2026-07-20T18:18:11.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42141918922785378","","","","0.0","0.0","0.0"
"a1WWD000002iH112AE","005al00000RVcKvAAL","false","a1WWD000002VOhh","2026-07-20T18:18:10.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","","","","","a1WWD000002iBLR2A2","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42148255259136630","","","","0.0","0.0","0.0"
"a1WWD000002iAsA2AU","005al00000RVvFOAA1","false","New Rec 62 updated","2026-07-20T18:18:09.000Z","005al00000RVvFOAA1","2026-07-20T18:18:31.000Z","005al00000RVvFOAA1","2026-07-20T18:18:31.000Z","","","","","","","false","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42152289717499210","","","","0.0","0.0","0.0"
"a1WWD000002iH4A2AU","005al00000RVcKvAAL","false","a1WWD000002Vb0f","2026-07-20T18:18:11.000Z","005al00000RVvFOAA1","2026-07-20T18:18:35.000Z","005al00000RVvFOAA1","2026-07-20T18:18:35.000Z","","","","","a1WWD000002iH2i2AE","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42160076075780914","","","","0.0","0.0","0.0"
"a1WWD000002iH0v2AE","005al00000RVcKvAAL","false","LLC BI  Budget 009-9c3f69","2026-07-20T18:18:10.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","","","","AX41691623","","Document collection and verification workflow settings","false","false","549.85","65.8034","120.6042","-113.9796","34.1966","-671.18","387.49","588.86","710.19","201.37","42166404865180826","92.6808","59.6169","23.2602","545.76","351.06","136.97"
"a1WWD000002iAsI2AU","005al00000RVvFOAA1","false","Services budget","2026-07-20T18:18:09.000Z","005al00000RVvFOAA1","2026-07-20T18:18:31.000Z","005al00000RVvFOAA1","2026-07-20T18:18:31.000Z","","","","","","","true","false","883.0","1128.2258","113.3065","-131.9892","-1028.2258","-982.0","8394.0","744.0","843.0","-7650.0","42172159694687762","0.0","0.0","0.0","0.0","0.0","0.0"
"a1WWD000002i7Fz2AI","005al00000RVcKvAAL","false","a1WWD000002VbDR","2026-07-20T18:18:12.000Z","005al00000RVvFOAA1","2026-07-20T18:18:35.000Z","005al00000RVvFOAA1","2026-07-20T18:18:35.000Z","","","","","a1WWD000002iH4C2AU","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42172743122636932","","","","0.0","0.0","0.0"
"a1WWD000002iH7W2AU","005al00000RVvFOAA1","false","Budgets-03","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42175720256524217","","","","0.0","0.0","0.0"
"a1WWD000002iH0x2AE","005al00000RVcKvAAL","false","a1WWD000002VOhd","2026-07-20T18:18:10.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","","","","","a1WWD000002iBLN2A2","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42175761375143624","","","","0.0","0.0","0.0"
"a1WWD000002iH7N2AU","005al00000RVvFOAA1","false","test budget commit 6","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","","","","","","","true","false","664235.0","3506.5041","5246.3415","-545174.7967","-3406.5041","-670565.0","4313.0","123.0","6453.0","-4190.0","42179866980529847","0.0","0.0","0.0","0.0","0.0","0.0"
"a1WWD000002iBLN2A2","005al00000RVcKvAAL","false","LLC BI  Budget 001-686539","2026-07-20T18:18:09.000Z","005al00000RVvFOAA1","2026-07-20T18:20:49.000Z","005al00000RVvFOAA1","2026-07-20T18:20:49.000Z","","","","EK76763162","","Borrower financial statement analysis and spreading setup","false","true","573.43","0.0","130.2974","-109.6572","100.0","-792.35","0.0","722.57","941.49","722.57","42183412158137337","0.0","0.0","0.0","0.0","0.0","0.0"
"a1WWD000002iH7Q2AU","005al00000RVvFOAA1","false","RS budget 3","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","","","","","","","true","false","7634.0","","","","","-8307.0","443.0","0.0","673.0","-443.0","42189252146923568","","","","0.0","0.0","0.0"
"a1WWD000002iBLR2A2","005al00000RVcKvAAL","false","LLC BI  Budget 005-dc3d9c","2026-07-20T18:18:09.000Z","005al00000RVvFOAA1","2026-07-20T18:20:49.000Z","005al00000RVvFOAA1","2026-07-20T18:20:49.000Z","","","","EA59122599","","Financial covenant monitoring and exception handling rules","false","false","888.91","0.0","48.2608","-82.7546","100.0","-546.95","0.0","660.93","318.97","660.93","42190089374001220","0.0","0.0","0.0","0.0","0.0","0.0"
"a1WWD000002iGw22AE","005al00000RVvFOAA1","false","CLA Simple Budget 1 Template","2026-07-20T18:18:05.000Z","005al00000RVvFOAA1","2026-07-20T18:19:36.000Z","005al00000RVvFOAA1","2026-07-20T18:19:36.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42190861640379324","","","","0.0","0.0","0.0"
"a1WWD000002iGw32AE","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-07-20T18:18:05.000Z","005al00000RVvFOAA1","2026-07-20T18:19:37.000Z","005al00000RVvFOAA1","2026-07-20T18:19:37.000Z","","","","","a1WWD000002iGw82AE","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","42191334335403812","0.0","0.0","0.0","0.0","0.0","0.0"
"a1WWD000002iH7S2AU","005al00000RVvFOAA1","false","RS budget 5","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","","","","","","","true","false","0.0","","","","","-6734.0","45.0","0.0","6734.0","-45.0","42197800232089144","","","","0.0","0.0","0.0"
"a1WWD000002iBLM2A2","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template10","2026-07-20T18:18:09.000Z","005al00000RVvFOAA1","2026-07-20T18:18:32.000Z","005al00000RVvFOAA1","2026-07-20T18:18:32.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42211392248066533","","","","0.0","0.0","0.0"
"a1WWD000002iH0t2AE","005al00000RVcKvAAL","false","LLC BI  Budget 007-ed7281","2026-07-20T18:18:10.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","","","","TM28893682","","Customer onboarding documentation and verification requirements","false","true","766.65","69.6915","162.4231","-192.0737","30.3085","-1135.77","412.1","591.32","960.44","179.22","42217024812812746","26.407","80.4184","111.4507","156.15","475.53","659.03"
"a1WWD000002iGw42AE","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-07-20T18:18:05.000Z","005al00000RVvFOAA1","2026-07-20T18:19:37.000Z","005al00000RVvFOAA1","2026-07-20T18:19:37.000Z","","","","","a1WWD000002iGw72AE","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","42228810885640343","0.0","0.0","0.0","0.0","0.0","0.0"
"a1WWD000002iH2g2AE","005al00000RVcKvAAL","false","a1WWD000002Vaz1","2026-07-20T18:18:11.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","","","","","","","false","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42234621913730576","","","","0.0","0.0","0.0"
"a1WWD000002iAsO2AU","005al00000RVvFOAA1","false","newJob001","2026-07-20T18:18:09.000Z","005al00000RVvFOAA1","2026-07-20T18:18:31.000Z","005al00000RVvFOAA1","2026-07-20T18:18:31.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42235077918149309","","","","0.0","0.0","0.0"
"a1WWD000002iH4H2AU","005al00000RVcKvAAL","false","a1WWD000002VbAQ","2026-07-20T18:18:11.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42235384201867798","","","","0.0","0.0","0.0"
"a1WWD000002iH5m2AE","005al00000RVcKvAAL","false","a1WWD000002VhFh","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","","","","","a1WWD000002i7GH2AY","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42236744575269341","","","","0.0","0.0","0.0"
"a1WWD000002iH7V2AU","005al00000RVvFOAA1","false","Budgets-02","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42241532426087773","","","","0.0","0.0","0.0"
"a1WWD000002iGzU2AU","005al00000RVvFOAA1","false","New Budgets 01","2026-07-20T18:18:07.000Z","005al00000RVvFOAA1","2026-07-20T18:18:30.000Z","005al00000RVvFOAA1","2026-07-20T18:18:30.000Z","","","","","a1WWD000002iGzH2AU","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","42244306118689534","0.0","0.0","0.0","0.0","0.0","0.0"
"a1WWD000002iGw52AE","005al00000RVvFOAA1","false","CLA Simple Budget 1 Template","2026-07-20T18:18:05.000Z","005al00000RVvFOAA1","2026-07-20T18:19:36.000Z","005al00000RVvFOAA1","2026-07-20T18:19:36.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42253046241412123","","","","0.0","0.0","0.0"
"a1WWD000002iH2X2AU","005al00000RVcKvAAL","false","CLA Simple Budget 2 Template Update","2026-07-20T18:18:11.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42269482166486289","","","","0.0","0.0","0.0"
"a1WWD000002iBLO2A2","005al00000RVcKvAAL","false","LLC BI  Budget 002-317174","2026-07-20T18:18:09.000Z","005al00000RVvFOAA1","2026-07-20T18:20:49.000Z","005al00000RVvFOAA1","2026-07-20T18:20:49.000Z","","","","XQ77004251","","Standard configuration for loan processing workflow","true","true","378.44","0.0","102.8307","-143.5984","100.0","-386.05","0.0","268.84","276.45","268.84","42274985946343905","0.0","0.0","0.0","0.0","0.0","0.0"
"a1WWD000002iH132AE","005al00000RVcKvAAL","false","a1WWD000002VOzO","2026-07-20T18:18:10.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","","","","LO73981742","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42275923994502123","","","","0.0","0.0","0.0"
"a1WWD000002iBLW2A2","005al00000RVcKvAAL","false","LLC BI  Budget 010-6b5a1e","2026-07-20T18:18:09.000Z","005al00000RVvFOAA1","2026-07-20T18:18:32.000Z","005al00000RVvFOAA1","2026-07-20T18:18:32.000Z","","","","KC90928483","","Automated credit analysis and risk assessment parameters","true","false","522.2","22.6891","69.8699","-42.8406","77.3109","-306.58","162.37","715.63","500.01","553.26","42280499388174972","114.4642","6.0185","43.5644","819.14","43.07","311.76"
"a1WWD000002iH0y2AE","005al00000RVcKvAAL","false","a1WWD000002VOhe","2026-07-20T18:18:10.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","","","","","a1WWD000002iBLO2A2","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42282738233076570","","","","0.0","0.0","0.0"
"a1WWD000002iH7X2AU","005al00000RVvFOAA1","false","Budgets-04","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","","","","","","Updated the record CIJobs","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42284020141843699","","","","0.0","0.0","0.0"
"a1WWD000002iH8r2AE","005al00000RVvFOAA1","false","Budgets-06","2026-07-20T18:18:14.000Z","005al00000RVvFOAA1","2026-07-20T18:18:38.000Z","005al00000RVvFOAA1","2026-07-20T18:18:38.000Z","","","","","","Updated","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42290087171957017","","","","0.0","0.0","0.0"
"a1WWD000002iFGv2AM","005al00000RVvFOAA1","false","A budget 2","2026-07-20T18:18:06.000Z","005al00000RVvFOAA1","2026-07-20T18:18:29.000Z","005al00000RVvFOAA1","2026-07-20T18:18:29.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42290867984417717","","","","0.0","0.0","0.0"
"a1WWD000002iBLS2A2","005al00000RVcKvAAL","false","LLC BI  Budget 006-cece0a","2026-07-20T18:18:09.000Z","005al00000RVvFOAA1","2026-07-20T18:18:32.000Z","005al00000RVvFOAA1","2026-07-20T18:18:32.000Z","","","","TE54444438","","Standard configuration for loan processing workflow","false","false","709.1","46.1698","5.5081","6.325","53.8302","50.87","371.33","804.27","44.3","432.94","42295012831997532","8.6426","12.6276","120.3103","69.51","101.56","967.62"
"a1WWD000002iH4J2AU","005al00000RVcKvAAL","false","a1WWD000002VbAS","2026-07-20T18:18:11.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","005al00000RVvFOAA1","2026-07-20T18:20:50.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42295431494171946","","","","0.0","0.0","0.0"
"a1WWD000002iH5w2AE","005al00000RVvFOAA1","false","RS budget 79","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","","","","","","","true","false","0.0","859.2105","44.7368","55.2632","-759.2105","42.0","653.0","76.0","34.0","-577.0","42300371430717217","0.0","0.0","0.0","0.0","0.0","0.0"
